t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0.5976068339296006,0.0001303289115146834,0.09686133685692506,0.0,0.0,0.0007165926755027685,5.620784976316959e-05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0007692939431903851,0.04895552247763912,0.0021778573985726667,0.0,0.0,2.8677806503460343e-05,4.975040034032304e-06,0.11708661355199751,0.00027248683352681626,0.00019441476324666106
1,0.5965333548751959,0.00014602639677751194,0.09513431187884833,0.0,0.0,0.0007165454461866077,5.5867174533550114e-05,0.0013195072157555776,0.0017291242851361244,0.0969385358107682,0.0,0.0,6.344621601551278e-07,3.8365443415734946e-07,0.0007637383687189432,0.049107133450227325,0.0021655905022693674,0.0,0.0,2.8773894633479234e-05,4.957739281999178e-06,0.11705538336411898,0.00027258852297624227,0.00019448731695495943
2,0.5954949267351434,0.0001847452892885663,0.09350094444497173,0.0,0.0,0.0007165086065186671,5.5551195825441716e-05,0.002590589863457426,0.003338860461524619,0.09404528043479032,0.0,0.0,1.2487320509436671e-06,7.485331720743166e-07,0.0007607623519002746,0.04925844246786916,0.00215344721343387,0.0,0.0,2.8869985406840555e-05,4.940509883386529e-06,0.11702416180762248,0.0002726901839566075,0.00019455985035106272
3,0.5944838027912644,0.00023710156330243077,0.09196014726146472,0.0,0.0,0.000716474617043812,5.5265382785633215e-05,0.003815762656069438,0.004838052183672221,0.09130885373569438,0.0,0.0,1.8438611202034444e-06,1.0958530600844068e-06,0.000761905561792279,0.04940937540256134,0.002141508793601448,0.0,0.0,2.8966030809082577e-05,4.9234003211427004e-06,0.1169929489664346,0.000272791816475883,0.00019463236344065813
4,0.5934947493538113,0.0002969064957701796,0.09050902816869724,0.0,0.0,0.0007164388002884019,5.501246891837325e-05,0.004997339427311443,0.00623485495300161,0.08871876607148821,0.0,0.0,2.4208157643895002e-06,1.4267782192166631e-06,0.0007679800528964173,0.049559826758814,0.002129884606421302,0.0,0.0,2.9061964621229785e-05,4.906476075630074e-06,0.11696174495343566,0.00027289342054203665,0.00019470485622943073
5,0.592524188816304,0.00036007963041457706,0.0891436930246076,0.0,0.0,0.0007163983421539257,5.4793450751335923e-05,0.006137468339155069,0.007536771484771153,0.08626534759790003,0.0,0.0,2.9804929093662385e-06,1.7424047364739468e-06,0.0007793331936677567,0.049709675179353194,0.002118697000178014,0.0,0.0,2.9157711476958178e-05,4.889810873058584e-06,0.11693054989716309,0.0002729949961630343,0.0001947773287230639
6,0.5915696842120612,0.0004239928136519251,0.08785971609197535,0.0,0.0,0.0007163516910843329,5.460818605687997e-05,0.007238152946195203,0.008750687668857947,0.08393969115396258,0.0,0.0,3.5237292502367235e-06,2.0437544206863204e-06,0.0007960056247504983,0.04985879265435121,0.002108072378791093,0.0,0.0,2.9253192243407197e-05,4.873481495578313e-06,0.11689936393546436,0.0002730965433468395,0.0001948497809272395
7,0.590629543277684,0.00048696419029993927,0.08665248470995746,0.0,0.0,0.0007162980970002788,5.445584909398863e-05,0.00830126938609907,0.009882919335108754,0.08173358820919535,0.0,0.0,4.051308661610132e-06,2.3317738052800816e-06,0.000817851880935723,0.050007051307715135,0.0020981346968261113,0.0,0.0,2.93483279862445e-05,4.857563972714437e-06,0.11686818721166323,0.00027319806210141347,0.0001949222128476378
8,0.5897025920244551,0.0005479684614403543,0.08551737672478864,0.0,0.0,0.0007162373496788017,5.4335184741174534e-05,0.009328579012804983,0.010939259848960077,0.07963946854720008,0.0,0.0,4.563967560731246e-06,2.607336931988019e-06,0.0008446081094867057,0.050154326895950965,0.0020890022020109288,0.0,0.0,2.9443042012058924e-05,4.8421316401029045e-06,0.11683701987350752,0.00027329955243471534,0.00019499462448993747
9,0.5887880017873952,0.0006064144225442139,0.08444988826723876,0.0,0.0,0.0007161695790317388,5.424470066520186e-05,0.010321738450754188,0.011925025517742587,0.07765034472421439,0.0,0.0,5.0623991088523995e-06,2.8712493454715368e-06,0.0008759434639476302,0.050300501340447425,0.002080785124772088,0.0,0.0,2.953726134685216e-05,4.827253744023596e-06,0.1168058620724382,0.00027340101435470194,0.00019506701585981554
